Funcloc,Alamat1,Alamat2,Alamat3,Alamat4,SiteName
100000000002,Desa Alun Dua,Desa Alun Dua,Kecamatan Kerkap,BENGKULU UTARA,Steele-Phillips
100000000003,Desa Padang Maninjau,Kel. Desa Padang Maninjau,Kec. Aek Kuo,LABUHANBATU UTARA,"Herrera, Barnes and Taylor"
100000000004,Desa Bio-Bio,Kel. Bandar Durian,Kec. Aek Natas,LABUHANBATU UTARA,Lee Group
100000000005,Rintis Kacang,Desa Pangakalan,Kec. Aek Natas,LABUHANBATU UTARA,Barton Inc
100000000006,Dusun VI Sidodadi,Desa Marbau Selatan,Kec. Marbau,LABUHANBATU UTARA,"Cole, Molina and Williams"
100000000007,Dusun Tanjung Rejo,Desa Perk Aek Pamienke,Kec. Aek Natas,LABUHANBATU UTARA,Mckinney Inc
100000000008,Jl. Imam Bonjol. Rt. 001 Rw. 001,Kel. Ahusen,Kec. Sirimau,"AMBON, KOTA",Jimenez Ltd
100000000009,Kota Jawa Rt.02 Rw. 07,Kel. Rumah Tiga,Kec. Teluk Ambo,"AMBON, KOTA",Carrillo Ltd
100000000010,"Jl. Ca Loppies, Rt 003 Rw 001",Desa Hatalai,Kecamatan Leitimur Selatan,"AMBON, KOTA",Parker LLC
100000000011,Jl. Halong Atas Rt19/Rw007,Desa Halong,Kec. Baguala,MALUKU TENGAH,Martinez-Miller
100000000012,Desa Uedele,Desa Uedele,Kecamatan Tojo,TOJO UNA UNA,Weiss LLC
100000000013,Jl. Perum Maumbi Indah Jaga Iv,Desa Watutumou,Kec. Kalawat,MINAHASA UTARA,Foster Group
100000000014,"Desa Batu, Rt.004/Rw.00",Desa Batu,Kec. Likupang Selatan,MINAHASA UTARA,Morton Group
100000000015,Desa Likupang Ii,Desa Likupang li,Kec. Likupang Timur,MINAHASA UTARA,"Bond, Cox and Gonzales"
100000000018,Jalan Poros Rt 8 Rw 2,Way Kanan,Way Kanan,WAY KANAN,"Brown, Jackson and Avery"
100000000019,"Jl. Kampung, Dusun I",Desa Way Tuba,Gunung Labuhan,WAY KANAN,Park-Brock
100000000020,"Jl. Gedung Rejo, Dusun 03 Rt.05",Way Kanan,Way Kanan,WAY KANAN,"Dickerson, Moss and Avila"
100000000021,Sukabumi Rt. 015 Rw 002,Desa Sukabumi,Kec. Pakuan Ratu,WAY KANAN,"Snyder, Brown and Perry"
100000000022,"Jalan Poros Rt. 04, Rw. 03",Way Kanan,Way Kanan,WAY KANAN,"Fowler, Lewis and Nelson"
100000000023,Jl. Kh Dewantara Rt. 02 Rw.02,Way Kanan,Way Kanan,WAY KANAN,George Inc
100000000024,"Jl. Poros Rt.02, Dusun V",Desa Sri Rejeki,Blambangan Umpu,WAY KANAN,Wood-Faulkner
100000000029,"Jl. Baru Pinang Jaya, Lingkungan I,","Kel. Pinang Jaya,",Kec. Kemiling,"BANDAR LAMPUNG, KOTA",Stevens-Wyatt
100000000030,Jl. Saburai Rt. 2 Lingkung V,Kel. Gunung Sulah,Kec. Sukarame,"BANDAR LAMPUNG, KOTA",Smith-Brown
100000000031,Jl. Sultan Agung Ii J,Kel. Way Halim,Kec. Sukarame,"BANDAR LAMPUNG, KOTA",Fisher PLC
100000000032,Jl. Ahmad Yani No.33 Lk.2 Rt.006 Rw.,Kel. Gotong Royong,Tanjung Karang Pusat,"BANDAR LAMPUNG, KOTA","Barnes, Garcia and Bell"
