City,CityCode,Province,Region,RegionalCode
Kabupaten Aceh Barat,MBO,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Barat Daya,BPD,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Besar,JTH,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Jaya,CAG,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Selatan,TTN,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Singkil,SKL,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Tamiang,KRB,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Tengah,TKN,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Tenggara,KTN,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Timur,LGS,Provinsi Aceh,Sumbagut,01
Kabupaten Aceh Utara,LSK,Provinsi Aceh,Sumbagut,01
Kabupaten Adm. Kepulauan Seribu,KSU,DKI Jakarta,Jabodetabek,04
Kabupaten Agam,LBB,Provinsi Sumatera Barat,Sumbagteng,02
Kabupaten Alor,KLB,Provinsi Nusa Tenggara Timur,Balinusra,08
Kabupaten Asahan,KIS,Provinsi Sumatera Utara,Sumbagut,01
Kabupaten Asmat,AGT,Provinsi Papua,Puma,11
Kabupaten Badung,MGW,Provinsi Bali,Balinusra,08
Kabupaten Balangan,PRN,Provinsi Kalimantan Selatan,Kalimantan,09
Kabupaten Bandung,SOR,Provinsi Jawa Barat,Jawa Barat,05
Kabupaten Bandung Barat,NPH,Provinsi Jawa Barat,Jawa Barat,05
Kabupaten Banggai,LWK,Provinsi Sulawesi Tengah,Sulawesi,10
Kabupaten Banggai Kepulauan,SKN,Provinsi Sulawesi Tengah,Sulawesi,10
Kabupaten Banggai Laut,BGI,Provinsi Sulawesi Tengah,Sulawesi,10
Kabupaten Bangka,SGL,Provinsi Kepulauan Bangka Belitung,Sumbagsel,03
Kabupaten Bangka Barat,MTK,Provinsi Kepulauan Bangka Belitung,Sumbagsel,03
Kabupaten Bangka Selatan,TBL,Provinsi Kepulauan Bangka Belitung,Sumbagsel,03
Kabupaten Bangka Tengah,KBA,Provinsi Kepulauan Bangka Belitung,Sumbagsel,03
Kabupaten Bangkalan,BKL,Provinsi Jawa Timur,Jawa Timur,07
Kabupaten Bangli,BLI,Provinsi Bali,Balinusra,08
Kabupaten Banjar,MTP,Provinsi Kalimantan Selatan,Kalimantan,09
Kabupaten Banjarnegara,BNR,Provinsi Jawa Tengah,Jawa Tengah,06
Kabupaten Bantaeng,BAN,Provinsi Sulawesi Selatan,Sulawesi,10
Kabupaten Bantul,BTL,DI Yogyakarta,Jawa Tengah,06
Kabupaten Banyuasin,PKB,Provinsi Sumatera Selatan,Sumbagsel,03
Kabupaten Banyumas,PWT,Provinsi Jawa Tengah,Jawa Tengah,06
Kabupaten Banyuwangi,BYW,Provinsi Jawa Timur,Jawa Timur,07
Kabupaten Barito Kuala,MRH,Provinsi Kalimantan Selatan,Kalimantan,09
Kabupaten Barito Selatan,BNT,Provinsi Kalimantan Tengah,Kalimantan,09
